Date,Open,High,Low,Close,Adj Close,Volume
2021-03-29,10.320000,10.760000,10.090000,10.350000,10.350000,37330700
2021-03-30,10.310000,10.520000,9.760000,10.350000,10.350000,39020500
2021-03-31,10.400000,10.470000,10.050000,10.210000,10.210000,29832300
2021-04-01,10.230000,10.260000,9.150000,9.360000,9.360000,77473900
2021-04-05,10.100000,11.250000,9.720000,10.610000,10.610000,96082300
2021-04-06,10.400000,10.500000,10.000000,10.200000,10.200000,44067000
2021-04-07,10.070000,10.180000,9.850000,9.850000,9.850000,28804300
2021-04-08,10.010000,10.010000,9.500000,9.790000,9.790000,33408700
2021-04-09,9.600000,9.740000,9.240000,9.420000,9.420000,29254600
2021-04-12,9.440000,9.490000,8.510000,8.620000,8.620000,51269800
2021-04-13,8.660000,9.120000,8.310000,8.840000,8.840000,44049100
2021-04-14,9.000000,9.810000,8.900000,9.350000,9.350000,51166300
2021-04-15,9.880000,10.230000,9.580000,9.900000,9.900000,45198900
2021-04-16,10.000000,10.030000,9.090000,9.330000,9.330000,40696700
2021-04-19,9.480000,9.810000,9.380000,9.660000,9.660000,32814300
2021-04-20,9.700000,9.710000,9.010000,9.280000,9.280000,27008900
2021-04-21,9.250000,9.810000,9.140000,9.780000,9.780000,23598200
2021-04-22,9.950000,10.650000,9.790000,9.990000,9.990000,49923500
2021-04-23,10.090000,10.380000,9.960000,10.160000,10.160000,27465600
2021-04-26,10.690000,11.960000,10.570000,11.500000,11.500000,78592900
2021-04-27,11.680000,12.220000,11.220000,11.460000,11.460000,51629800
2021-04-28,10.850000,11.390000,10.650000,10.850000,10.850000,39720500
2021-04-29,10.950000,11.040000,10.090000,10.200000,10.200000,37782900
2021-04-30,10.070000,10.180000,9.880000,10.030000,10.030000,27741000
2021-05-03,10.110000,10.120000,9.610000,9.710000,9.710000,31251200
2021-05-04,9.630000,9.750000,9.050000,9.390000,9.390000,35222400
2021-05-05,9.410000,9.570000,9.080000,9.170000,9.170000,27608700
2021-05-06,9.330000,9.400000,8.930000,9.000000,9.000000,39586300
2021-05-07,9.320000,9.790000,9.140000,9.510000,9.510000,38245000
2021-05-10,9.900000,10.150000,9.560000,9.740000,9.740000,41015300
2021-05-11,9.930000,10.480000,9.600000,10.050000,10.050000,49601000
2021-05-12,10.030000,10.630000,10.020000,10.320000,10.320000,54423500
2021-05-13,10.880000,14.200000,10.640000,12.770000,12.770000,296525000
2021-05-14,13.310000,14.340000,12.570000,12.980000,12.980000,207589900
2021-05-17,13.670000,14.380000,13.390000,13.950000,13.950000,158933100
2021-05-18,14.250000,14.670000,13.570000,14.030000,14.030000,172488400
2021-05-19,12.950000,13.310000,12.140000,12.640000,12.640000,89024100
2021-05-20,12.590000,12.990000,12.030000,12.550000,12.550000,61419700
2021-05-21,12.610000,12.840000,12.050000,12.080000,12.080000,53937700
2021-05-24,12.380000,13.960000,12.170000,13.680000,13.680000,113319200
2021-05-25,13.610000,16.670000,13.550000,16.410000,16.410000,213644100
2021-05-26,17.760000,19.950001,17.260000,19.559999,19.559999,379064100
2021-05-27,18.610001,29.760000,18.309999,26.520000,26.520000,705545700
2021-05-28,31.809999,36.720001,24.170000,26.120001,26.120001,660623600
2021-06-01,31.889999,33.529999,28.530001,32.040001,32.040001,508694600
